y,age,educ,female,exp,yl1,yl2,yl3,yp1,yp2,owage2,owage1
2.570021,48,12,0,30,2.620926,2.616735,2.608906,2.784972,2.791555,1.191210639,1.12280851
2.298948,46,12,1,28,2.296236,2.284491,2.275459,2.309241,2.32077,2.397996729,2.485690295
2.401098,46,12,1,28,2.347023,2.354368,2.302642,2.409914,2.419748,2.397585249,2.485626382
1.230435,42,12,0,24,1.232543,1.256243,1.177653,1.198927,1.174227,1.103485742,1.016370448
2.298948,48,12,0,30,2.296236,2.284491,2.275459,2.309241,2.32077,2.397996729,2.485690295
2.298948,47,12,0,29,2.296236,2.284491,2.275459,2.309241,2.32077,2.397996729,2.485690295
2.298948,45,9,0,30,2.296236,2.284491,2.275459,2.309241,2.32077,2.397996729,2.485690295
2.298948,52,16,1,30,2.296236,2.284491,2.275459,2.358882,2.370538,2.397996729,2.485690295
2.348958,48,12,1,30,2.347023,2.335745,2.327178,2.358882,2.370538,2.397795279,2.485626382
2.336002,44,9,1,29,2.333607,2.322229,2.297709,2.378326,2.388658,2.397847468,2.557958263
2.298948,47,12,1,29,2.296236,2.284491,2.275459,2.309241,2.32077,2.397996729,2.485690295
2.470648,46,12,1,28,2.469099,2.458685,2.450915,2.47957,2.49042,2.397305088,2.485472755
2.34216,44,12,1,26,2.340337,2.32901,2.320395,2.352316,2.363578,2.397822663,2.485634796
2.2918,47,12,1,29,2.289201,2.2774,2.268314,2.30234,2.314121,2.398025523,2.485699148
2.342842,44,12,1,26,2.340661,2.308186,2.261125,2.352316,2.39483,2.397819915,2.485634388
2.36041,44,12,1,26,2.359238,2.342838,2.305382,2.369947,2.411309,2.397749148,2.48561101
2.336002,42,12,1,24,2.333607,2.322229,2.313572,2.345707,2.357208,2.397847468,2.485643265
2.375038,47,12,1,29,2.374083,2.35827,2.313572,2.383447,2.424539,2.397690224,2.485592328
2.860504,46,12,0,28,2.938588,2.92902,2.907466,3.228915,3.247846,2.126284275,2.439589412
2.470648,51,16,0,29,2.444522,2.431376,2.395988,2.47957,2.49042,2.397305088,2.485503684
2.313092,45,12,1,27,2.3119,2.270259,2.261125,2.322902,2.33459,2.397939754,2.485670583
2.2846,43,12,1,25,2.274981,2.270259,2.261125,2.288393,2.300013,2.398054526,2.558609663
2.336002,45,12,1,27,2.333607,2.322229,2.313572,2.345707,2.357208,2.397847468,2.485643265
2.336002,47,12,0,29,2.333607,2.322229,2.313572,2.345707,2.357208,2.397847468,2.485643265
2.336002,47,12,1,29,2.333607,2.322229,2.298156,2.345707,2.357208,2.397847468,2.485643265
2.445746,45,12,1,27,2.41301,2.429466,2.394017,2.454312,2.464357,2.397405398,2.48554334
2.625304,40,9,1,25,2.651302,2.597329,2.577303,2.633362,2.641343,2.386368132,2.3111122
2.711487,45,12,0,27,2.282161,2.322929,2.335905,2.718715,2.817057,1.986775438,2.406389566
2.363086,42,9,0,27,2.320008,2.308528,2.246576,2.411157,2.422745,2.397738369,2.485660379
2.278076,45,12,1,27,2.27586,2.294448,2.266416,2.288393,2.300689,2.485713149,2.558599896
2.391405,44,12,0,26,2.389858,2.378815,2.370427,2.455501,2.46665,2.397624294,2.485572476
2.401576,44,12,0,26,2.412898,2.365161,2.366292,2.315511,2.318209,2.40600154,2.485456559
3.172161,41,16,1,19,2.837745,2.838277,2.867727,3.197947,3.179385,2.997819083,2.67626488
3.500597,43,16,1,21,3.484776,3.510696,3.420378,3.514361,3.598095,2.942135986,2.867005598
2.442666,36,12,1,18,2.435706,2.398214,2.266429,2.450139,2.459754,2.48550602,2.52728633
2.679572,42,12,0,24,2.528906,2.552597,2.528022,2.414867,3.144768,2.440454601,2.527145145
2.976228,41,12,0,23,2.80081,2.807878,2.806379,2.752094,2.779189,2.439463683,2.485260755
2.514657,41,9,0,26,2.513423,2.503335,2.495717,2.550108,2.560084,2.753242843,2.485416975
2.778651,41,12,0,23,3.522598,3.511754,3.463602,2.987099,2.97629,1.681966773,2.484146973
3.23981,42,16,1,20,3.19611,3.203341,3.209496,3.199301,3.198086,2.361021365,2.291284856
2.264162,37,12,1,19,2.262385,2.211216,2.201637,2.273535,2.285016,2.398136854,2.558749618
2.280256,35,12,1,17,2.274107,2.232098,2.201637,2.324936,2.335897,2.398072024,2.558619374
2.508221,43,12,1,25,2.396598,2.395541,2.403708,2.612729,2.627479,2.364507197,2.316466337
2.738921,35,16,1,13,2.528513,2.449893,2.450561,2.898552,2.942105,1.547617713,1.555751144
2.549839,38,16,1,16,2.311178,2.355288,2.384838,2.571658,2.558404,2.273650291,2.406295279
3.538906,41,12,0,23,3.003563,2.966817,2.939849,3.435369,3.440668,2.525615132,2.440120484
1.808262,43,16,1,21,2.306664,2.341282,2.363982,1.807596,1.925017,1.42572477,1.533017393
2.893437,36,12,0,18,2.656762,2.708815,2.543608,2.969556,3.028313,2.147974322,2.457296241
2.273524,42,12,0,24,2.570464,2.569885,2.427262,2.951527,2.727485,2.44181092,2.440772987
3.438848,42,16,0,20,3.767088,3.7055,3.767359,3.496106,3.532743,2.619500376,2.550774859
3.125582,40,16,0,18,2.981759,2.959766,2.820565,3.134586,3.147407,2.524264151,2.526459134
2.211937,35,12,1,17,2.208362,2.195894,2.186197,2.222355,2.235023,2.485796382,2.559349874
3.054914,39,12,0,21,3.05834,3.055394,3.277543,3.051429,3.056467,2.607690055,2.884243838
1.997565,34,16,1,12,2.227023,2.266562,2.28201,2.250682,2.246295,1.727411641,2.138468221
1.853177,34,12,1,16,1.395308,1.425908,1.448608,1.927138,1.957451,1.846946314,1.293602889
2.429013,41,12,0,23,2.283151,2.27523,2.33354,2.480687,2.488886,2.364884603,2.32003947
3.126867,40,16,0,18,2.948266,2.966993,2.966656,3.101783,3.164571,2.207694777,2.585325208
2.397056,37,16,1,15,2.283505,2.282449,2.39195,2.5465,2.568465,2.36503687,2.320028321
2.35638,41,12,1,23,2.208116,2.12314,2.114354,2.377059,2.393567,2.550637628,2.003148078
3.733064,47,16,0,25,3.597538,3.520964,3.605764,3.635036,3.577206,2.147147002,2.180648987
3.99434,49,16,0,27,3.958742,3.966584,3.853735,3.978733,3.999118,2.939490934,2.86212564
2.631965,47,12,0,29,2.668618,2.726236,2.739882,2.73402,2.734922,2.047876013,1.764199458
2.462601,52,16,0,30,2.48761,2.513106,2.546073,2.433978,2.464875,1.711476347,1.610819338
1.932588,48,12,0,30,2.551477,2.564899,1.992533,1.913657,1.941806,1.933943971,1.705174401
1.537279,44,9,0,29,1.615933,1.698469,1.704649,1.506411,1.60172,1.481557313,1.805902667
1.763207,44,9,1,29,1.841522,1.814281,1.772915,1.785967,2.042114,1.506432722,1.53726511
1.651731,45,9,1,30,1.402694,1.518964,1.392923,1.570276,1.58761,1.547700425,1.556568495
2.193335,48,12,0,30,2.352504,2.348562,2.224209,2.239148,2.250265,2.62851718,2.894352643
1.438488,45,9,0,30,1.435041,1.457741,1.443598,1.413788,1.415929,1.583420824,1.392426058
1.628193,47,12,0,29,1.607935,1.694502,1.677988,1.632174,1.627766,1.620100671,1.639459667
2.688142,43,9,0,28,2.561831,2.87462,2.839663,2.814528,2.742843,2.133230143,1.889613394
2.06705,42,9,0,27,2.280963,1.685179,1.616179,2.257979,2.252018,2.3517155,1.574156617
2.399811,46,12,0,28,2.400456,2.345057,2.299771,2.408046,2.416743,2.397590433,2.557215496
3.059261,48,12,1,30,2.861764,2.826409,2.830845,2.919565,2.96089,2.813881394,2.107821872
2.770419,43,9,0,28,2.630878,2.349998,2.35095,2.705362,2.634142,1.65281476,1.588869857
3.14203,48,12,1,30,2.906911,2.917738,2.908112,3.129724,3.125951,1.945707929,2.041115585
2.701468,44,12,0,26,2.605416,2.684806,2.707506,2.679021,2.682288,1.808572356,2.242381711
1.982442,42,6,0,30,1.528687,1.549984,1.582484,1.95688,2.035,1.923878435,1.570959857
2.276469,45,9,1,30,1.501745,1.508735,1.503825,2.206126,2.358385,1.252696143,1.256417438
2.28657,44,9,0,29,2.1995,2.202495,2.171324,2.26187,2.23627,1.507576407,2.093133254
2.533804,47,12,0,29,1.995615,2.026829,1.831696,2.558282,2.563615,1.495084926,1.616713249
1.662249,48,12,1,30,2.185036,2.306492,2.329192,1.643323,1.652431,1.533333157,2.269223462
